True Positives: 0, False Positives: 42, False Negatives: 4, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0249241682495267,
True Positives: 0, False Positives: 151, False Negatives: 14, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.021055991214520224,
True Positives: 0, False Positives: 250, False Negatives: 23, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020133109826296593,
True Positives: 0, False Positives: 360, False Negatives: 33, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020220728787976303,
True Positives: 0, False Positives: 464, False Negatives: 43, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019903952651242604,
True Positives: 0, False Positives: 558, False Negatives: 52, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019833820730757276,
True Positives: 0, False Positives: 654, False Negatives: 62, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019595655709640742,
True Positives: 0, False Positives: 747, False Negatives: 71, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019728120014047484,
True Positives: 0, False Positives: 856, False Negatives: 81, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01964831253087736,
True Positives: 0, False Positives: 960, False Negatives: 91, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01961870409890013,
True Positives: 0, False Positives: 1058, False Negatives: 100, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01942766316997222,
True Positives: 0, False Positives: 1166, False Negatives: 110, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01935187714542818,
True Positives: 0, False Positives: 1266, False Negatives: 120, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01937096257497615,
True Positives: 0, False Positives: 1356, False Negatives: 129, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019354645782912894,
True Positives: 0, False Positives: 1456, False Negatives: 139, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01930858123019828,
True Positives: 0, False Positives: 1556, False Negatives: 149, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019259816536875876,
True Positives: 0, False Positives: 1646, False Negatives: 158, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01914195010757092,
True Positives: 0, False Positives: 1746, False Negatives: 168, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019134846529736717,
True Positives: 0, False Positives: 1836, False Negatives: 177, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019037771118623283,
